,Name,No.of votes,Percentage of votes,Party
1572,Mullappally Ramachandran,"421,255",48.6%,Indian National Congress
1573,Adv. P. Satheedevi,"365,069",42.1%,Communist Party Of India (MARXIST)
1574,K.P Sreesan,"40,391",4.7%,Bharatiya Janta Party
1575,Balkrishna Khanderao Shukla (Balu Shukla),"428,833",57.4%,Bharatiya Janta Party
1576,Gaekwad Satyajitsinh Dulapsinh,"292,805",39.2%,Indian National Congress
1577,Vasava Harilal Shanabhai,"9,896",1.3%,Independent
1578,Raghuvansh Prasad Singh,"284,479",45.5%,Rashtriya Janata Dal
1579,Vijay Kumar Shukla,"262,171",42.0%,Janata Dal (United)
1580,Shankar Mahto,"17,462",2.8%,Bahujan Samaj Party
1581,Baidyanath Prasad Mahto,"277,696",46.4%,Janata Dal (United)
1582,Fakhruddin,"94,021",15.7%,Independent
1583,Manan Mishra,"46,058",7.7%,Bahujan Samaj Party
1584,Kishanbhai Vestabhai Patel,"357,755",46.2%,Indian National Congress
1585,Patel Dhirubhai Chhaganbhai (Dr. D.C.Patel),"350,586",45.3%,Bharatiya Janta Party
1586,Patel Rambhai Koyabhai,"27,429",3.5%,Independent
1587,Dr. Murli Manohar Joshi,"203,122",30.5%,Bharatiya Janta Party
1588,Mukhtar Ansari,"185,911",27.9%,Bahujan Samaj Party
1589,Ajay Rai,"123,874",18.6%,Samajwadi Party
1590,Abdul Rahman,"360,474",49.8%,Dravida Munetra Kazhagam
1591,Vasu L K M B,"253,081",35.0%,All India Anna Dravida Munnetra Kazhagam
1592,Shoukath Sherif,"62,696",8.7%,Desiya Murpokku Dravida Kazhagam
1593,Sushma Swaraj,"438,235",78.8%,Bharatiya Janta Party
1594,Choudhary Munabbar Salim,"48,391",8.7%,Samajwadi Party
1595,Dr.Premshankar Sharma,"37,142",6.7%,Bahujan Samaj Party
1596,Lagadapati Raja Gopal,"429,394",39.3%,Indian National Congress
1597,Vamsi Mohan Vallabhaneni,"416,682",38.2%,Telugu Desam
1598,Rajiv Chanumolu,"164,666",15.1%,Praja Rajyam Party
1599,Anandan M,"306,826",38.5%,All India Anna Dravida Munnetra Kazhagam
1600,Swamidurai K,"304,029",38.2%,Viduthalai Chiruthaigal Katchi
1601,Ganapathi P M,"127,476",16.0%,Desiya Murpokku Dravida Kazhagam
1602,Manicka Tagore,"307,187",40.0%,Indian National Congress
1603,Vaiko,"291,423",37.9%,Marumalarchi Dravida Munnetra Kazhagam
1604,Pandiarajan K,"125,229",16.3%,Desiya Murpokku Dravida Kazhagam
1605,Daggubati Purandeswari,"368,812",36.4%,Indian National Congress
1606,Palla Srinivasa Rao,"302,126",29.8%,Praja Rajyam Party
1607,Dr.M.V.V.S.Murthi,"223,117",22.0%,Telugu Desam
1608,Jhansi Lakshmi Botcha,"411,584",40.2%,Indian National Congress
1609,Appalanaidu Kondapalli,"351,013",34.3%,Telugu Desam
1610,Kimidi Ganapathi Rao,"172,034",16.8%,Praja Rajyam Party
1611,Rajaiah Siricilla,"396,568",38.4%,Indian National Congress
1612,Ramagalla Parameshwar,"271,907",26.4%,Telangana Rashtra Samithi
1613,Dommati Sambaiah,"135,697",13.2%,Telugu Desam
1614,Datta Meghe,"352,853",45.8%,Indian National Congress
1615,Suresh Ganpatrao Waghmare,"256,935",33.4%,Bharatiya Janta Party
1616,Kangale Bipin Babasaheb,"131,643",17.1%,Bahujan Samaj Party
1617,M.I. Shanavas,"410,703",49.8%,Indian National Congress
1618,Advocate. M. Rahmathulla,"257,264",31.2%,Communist Party Of India
1619,K. Muraleedharan,"99,663",12.1%,Nationalist Congress Party
1620,Mahabal Mishra,"479,899",54.3%,Indian National Congress
1621,Prof. Jagdish Mukhi,"350,889",39.7%,Bharatiya Janta Party
1622,Deepak Bhardwaj,"36,089",4.1%,Bahujan Samaj Party
1623,Bhavana Gawali (Patil),"384,443",45.7%,Shiv Sena
1624,Harising Rathod,"327,492",39.0%,Indian National Congress
1625,Yedatkar Dilip Laxmanrao,"62,781",7.5%,Bahujan Samaj Party
1626,Suresh Kumar Shetkar,"395,767",38.8%,Indian National Congress
1627,Syed Yousuf Ali,"378,360",37.1%,Telangana Rashtra Samithi
1628,Malkapuram Shiva Kumar,"112,792",11.0%,Praja Rajyam Party
