,Place,Rank,Name,No.of votes,Percentage of votes,Party
1704,Raipur,1,Ramesh Bais,"654,922",52.4%,Bharatiya Janta Party
1705,,2,Satya Narayan Sharma (SATTU BHAIYA),"483,276",38.6%,Indian National Congress
1706,,3,Sandeep Tiwari,"15,139",1.2%,Aam Aadmi Party
1707,,,,,,
1708,Rajahmundry,1,Murali Mohan Maganti,"630,573",54.6%,Telugu Desam
1709,,2,Boddu Venkataramana Chowdary,"463,139",40.1%,Yuvajana Sramika Rythu Congress Party
1710,,3,Durgesh Kandula,"21,243",1.8%,Indian National Congress
1711,,,,,,
1712,Rajampet,1,P.V.Midhun Reddy,"601,752",52.0%,Yuvajana Sramika Rythu Congress Party
1713,,2,D. Purandeswari,"426,990",36.9%,Bharatiya Janta Party
1714,,3,G.Mujeeb Hussain,"59,777",5.2%,Jai Samaikyandhra Party
1715,,,,,,
1716,Rajgarh,1,Rodmal Nagar,"596,727",59.0%,Bharatiya Janta Party
1717,,2,Amlabe Narayan Singh,"367,990",36.4%,Indian National Congress
1718,,3,Dr.Shivnarayan Verma,"13,864",1.4%,Bahujan Samaj Party
1719,,,,,,
1720,Rajkot,1,Kundariya Mohanbhai Kalyanjibhai,"621,524",58.8%,Bharatiya Janta Party
1721,,2,Kunvarjibhai Mohanbhai Bavaliya,"375,096",35.5%,Indian National Congress
1722,,3,Jivanbhai Devajibhai Parmar,"12,653",1.2%,Bahujan Samaj Party
1723,,,,,,
1724,Rajmahal,1,Vijay Kumar Hansdak,"379,507",39.9%,Jharkhand Mukti Morcha
1725,,2,Hemlal Murmu,"338,170",35.5%,Bharatiya Janta Party
1726,,3,Dr. Anil Murmu,"97,374",10.2%,Jharkhand Vikas Morcha (Prajatantrik)
1727,,,,,,
1728,Rajnandgaon,1,Abhishek Singh,"643,473",54.6%,Bharatiya Janta Party
1729,,2,Kamleshwar Verma,"407,562",34.6%,Indian National Congress
1730,,3,Anand Sahu,"20,458",1.7%,Bahujan Samaj Party
1731,,,,,,
1732,Rajsamand,1,Hariom Singh Rathore,"644,794",65.7%,Bharatiya Janta Party
1733,,2,Gopal Singh Shekhawat,"249,089",25.4%,Indian National Congress
1734,,3,Neeru Ram Jat,"14,579",1.5%,Bahujan Samaj Party
1735,,,,,,
1736,Ramanathapuram,1,Anwhar Raajhaa.A,"405,945",40.6%,All India Anna Dravida Munnetra Kazhagam
1737,,2,Mohamed Jaleel .S,"286,621",28.6%,Dravida Munetra Kazhagam
1738,,3,Kuppuramu .D,"171,082",17.1%,Bharatiya Janta Party
1739,,,,,,
1740,Rampur,1,Dr. Nepal Singh,"358,616",37.5%,Bharatiya Janta Party
1741,,2,Naseer Ahmad Khan,"335,181",35.0%,Samajwadi Party
1742,,3,Nawab Kazim Ali Khan,"156,466",16.4%,Indian National Congress
1743,,,,,,
1744,Ramtek,1,Krupal Balaji Tumane,"519,892",49.5%,Shiv Sena
1745,,2,Mukul Wasnik,"344,101",32.8%,Indian National Congress
1746,,3,Kiran Prem Kumar Rodge (PATANKAR),"95,051",9.0%,Bahujan Samaj Party
1747,,,,,,
1748,Ranaghat,1,Tapas Mandal,"590,451",43.6%,All India Trinamool Congress
1749,,2,Archana Biswas,"388,684",28.7%,Communist Party Of India (MARXIST)
1750,,3,Supravat Biswas,"233,670",17.3%,Bharatiya Janta Party
1751,,,,,,
1752,Ranchi,1,Ram Tahal Choudhary,"448,729",42.7%,Bharatiya Janta Party
1753,,2,Subodh Kant Sahay,"249,426",23.8%,Indian National Congress
1754,,3,Sudesh Kumar Mahto,"142,560",13.6%,Ajsu Party
1755,,,,,,
1756,Ratlam,1,Dileepsingh Bhuria,"545,970",50.4%,Bharatiya Janta Party
1757,,2,Kantilal Bhuria,"437,523",40.4%,Indian National Congress
1758,,3,Babusingh,"18,485",1.7%,Bahujan Samaj Party
1759,,,,,,
1760,Ratnagiri - Sindhudurg,1,Vinayak Bhaurao Raut,"493,088",55.0%,Shiv Sena
1761,,2,Nilesh Narayan Rane,"343,037",38.3%,Indian National Congress
1762,,3,Ayare Rajendra Lahu,"13,088",1.5%,Bahujan Samaj Party
1763,,,,,,
1764,Raver,1,Khadase Raksha Nikhil,"605,452",60.0%,Bharatiya Janta Party
1765,,2,Manishdada Jain,"287,384",28.5%,Nationalist Congress Party
1766,,3,Bhande Dashrath Motiram,"29,752",2.9%,Bahujan Samaj Party
1767,,,,,,
1768,Rewa,1,Janardan Mishra,"383,320",46.2%,Bharatiya Janta Party
1769,,2,Sunderlal Tiwari,"214,594",25.9%,Indian National Congress
1770,,3,Deoraj Singh Patel,"175,567",21.2%,Bahujan Samaj Party
1771,,,,,,
1772,Robertsganj,1,Chhotelal,"378,211",42.7%,Bharatiya Janta Party
1773,,2,Sharada Prasad,"187,725",21.2%,Bahujan Samaj Party
1774,,3,Pakaudi Lal Kol,"135,966",15.3%,Samajwadi Party
1775,,,,,,
1776,Rohtak,1,Deepender Singh Hooda,"490,063",46.9%,Indian National Congress
1777,,2,Om Parkash Dhankar,"319,436",30.6%,Bharatiya Janta Party
1778,,3,Shamsher Singh Kharkara,"151,120",14.5%,Indian National Lok Dal
1779,,,,,,
1780,Sabarkantha,1,Rathod Dipsinh Shankarsinh,"552,205",50.5%,Bharatiya Janta Party
1781,,2,Shankersinh Vaghela Bapu,"467,750",42.8%,Indian National Congress
1782,,3,Bhambhi Chandubhai Mulchandbhai,"16,665",1.5%,Bahujan Samaj Party
1783,,,,,,
1784,Sagar,1,Laxmi Narayan Yadav,"482,580",54.1%,Bharatiya Janta Party
1785,,2,Govind Singh Rajput,"361,843",40.6%,Indian National Congress
1786,,3,Saroj Katiyar Kurmi,"19,917",2.2%,Bahujan Samaj Party
1787,,,,,,
1788,Saharanpur,1,Raghav Lakhanpal,"472,999",39.6%,Bharatiya Janta Party
1789,,2,Imran Masood,"407,909",34.2%,Indian National Congress
1790,,3,Jagdish Singh Rana,"235,033",19.7%,Bahujan Samaj Party
1791,,,,,,
1792,Salem,1,Pannerselvam.V,"556,546",48.4%,All India Anna Dravida Munnetra Kazhagam
1793,,2,Umarani. S,"288,936",25.1%,Dravida Munetra Kazhagam
1794,,3,Sudhish L K,"201,265",17.5%,Desiya Murpokku Dravida Kazhagam
1795,,,,,,
1796,Salempur,1,Ravindra Kushawaha,"392,213",45.9%,Bharatiya Janta Party
1797,,2,Ravi Shanker Singhpappu,"159,871",18.7%,Bahujan Samaj Party
1798,,3,Haribansh Sahai Kushwaha,"159,688",18.7%,Samajwadi Party
1799,,,,,,
1800,Samastipur,1,Ram Chandra Paswan,"270,401",31.3%,Lok Jan Shakti Party
1801,,2,Dr. Ashok Kumar,"263,529",30.5%,Indian National Congress
1802,,3,Maheshwar Hazari,"200,124",23.2%,Janata Dal (United)
1803,,,,,,
1804,Sambalpur,1,Nagendra Kumar Pradhan,"358,618",36.4%,Biju Janata Dal
1805,,2,Suresh Pujari,"328,042",33.3%,Bharatiya Janta Party
1806,,3,Amarnath Pradhan,"242,131",24.6%,Indian National Congress
1807,,,,,,
1808,Sambhal,1,Satyapal Singh,"360,242",34.1%,Bharatiya Janta Party
1809,,2,Dr Shafiq- Ur Rahman Barq,"355,068",33.6%,Samajwadi Party
1810,,3,Aqeel-Ur -Rehman Khan,"252,640",23.9%,Bahujan Samaj Party
1811,,,,,,
1812,Sangli,1,Sanjaykaka Patil,"611,563",58.4%,Bharatiya Janta Party
1813,,2,Patil Pratik Prakashbapu,"372,271",35.6%,Indian National Congress
1814,,3,Bandgar Nanaso Balaso,"11,378",1.1%,Bahujan Samaj Party
1815,,,,,,
1816,Sangrur,1,Bhagwant Mann,"533,237",48.5%,Aam Aadmi Party
1817,,2,Sukhdev Singh Dhindsa,"321,516",29.2%,Shiromani Akali Dal
1818,,3,Vijay Inder Singla,"181,410",16.5%,Indian National Congress
1819,,,,,,
1820,Sant Kabir Nagar,1,Sharad Tripathi,"348,892",34.5%,Bharatiya Janta Party
1821,,2,Bhism Shankar Alias Kushal Tiwari,"250,914",24.8%,Bahujan Samaj Party
1822,,3,Bhal Chandra Yadav,"240,169",23.7%,Samajwadi Party
1823,,,,,,
1824,Saran,1,Rajiv Pratap Rudy,"355,120",41.1%,Bharatiya Janta Party
1825,,2,Rabri Devi,"314,172",36.4%,Rashtriya Janata Dal
1826,,3,Saleem Perwez,"107,008",12.4%,Janata Dal (United)
1827,,,,,,
1828,Sarguja,1,Kamalbhan Singh Marabi,"585,336",49.3%,Bharatiya Janta Party
1829,,2,Ram Dev Ram,"438,100",36.9%,Indian National Congress
1830,,3,Dharmjeet Singh Markam,"21,633",1.8%,Bahujan Samaj Party
1831,,,,,,
1832,Sasaram,1,Chhedi Paswan,"366,087",43.2%,Bharatiya Janta Party
1833,,2,Meira Kumar,"302,760",35.8%,Indian National Congress
1834,,3,Karra Parasu Ramaiah,"93,310",11.0%,Janata Dal (United)
1835,,,,,,
1836,Satara,1,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,"522,531",53.5%,Nationalist Congress Party
1837,,2,Purushottam Jadhav,"155,937",16.0%,Independent
1838,,3,Rajendra Madhukar Chorage,"82,489",8.4%,Aam Aadmi Party
1839,,,,,,
1840,Satna,1,Ganesh Singh,"375,288",41.1%,Bharatiya Janta Party
1841,,2,Ajay Singh Rahul Bhaiyya,"366,600",40.1%,Indian National Congress
1842,,3,Dharmendra Singh Tiwari,"124,602",13.6%,Bahujan Samaj Party
1843,,,,,,
1844,Secundrabad,1,Bandaru Dattatreya,"438,271",43.7%,Bharatiya Janta Party
1845,,2,M.Anjan Kumar Yadav,"183,536",18.3%,Indian National Congress
1846,,3,Narla Mohan Rao,"145,120",14.5%,All India Majlis-E-Ittehadul Muslimoon
1847,,,,,,
1848,Shahdol,1,Dalpat Singh Paraste,"525,419",54.2%,Bharatiya Janta Party
1849,,2,Rajes Nandini Singh,"284,118",29.3%,Indian National Congress
1850,,3,Parmeshwar Singh,"27,619",2.9%,Communist Party Of India
1851,,,,,,
1852,Shahjahanpur,1,Krishna Raj,"525,132",46.5%,Bharatiya Janta Party
1853,,2,Umed Singh Kashyap,"289,603",25.6%,Bahujan Samaj Party
1854,,3,Mithilesh Kumar,"242,913",21.5%,Samajwadi Party
1855,,,,,,
1856,Sheohar,1,Rama Devi,"372,506",44.2%,Bharatiya Janta Party
1857,,2,Md Anwarul Haque,"236,267",28.0%,Rashtriya Janata Dal
1858,,3,Shahid Ali Khan,"79,108",9.4%,Janata Dal (United)
1859,,,,,,
1860,Shillong,1,Vincent H. Pala,"209,340",33.8%,Indian National Congress
1861,,2,Prechard B. M. Basaiawmoit,"168,961",27.3%,Independent
1862,,3,Paul Lyngdoh,"106,817",17.2%,United Democratic Party
1863,,,,,,
1864,Shimla,1,Virender Kashyap,"385,973",52.3%,Bharatiya Janta Party
1865,,2,Mohan Lal Brakta,"301,786",40.9%,Indian National Congress
1866,,3,Subhash Chander,"14,233",1.9%,Aam Aadmi Party
1867,,,,,,
1868,Shimoga,1,B. S. Yeddyurappa,"606,216",53.7%,Bharatiya Janta Party
1869,,2,Manjunath Bhandary,"242,911",21.5%,Indian National Congress
1870,,3,Geetha Shivarajkumar,"240,636",21.3%,Janata Dal (Secular)
1871,,,,,,
1872,Shirdi,1,Lokhande Sadashiv Kisan,"532,936",57.1%,Shiv Sena
1873,,2,Bhausaheb Rajaram Wakchaure,"333,014",35.7%,Indian National Congress
1874,,3,Nitin Navnath Udmale,"11,580",1.2%,Aam Aadmi Party
1875,,,,,,
1876,Shirur,1,Adhalrao Shivaji Dattatrey,"643,415",59.1%,Shiv Sena
1877,,2,Nikam Devdatta Jaywant,"341,601",31.4%,Nationalist Congress Party
1878,,3,Ashok Shirpati Khandebharad,"36,448",3.3%,Maharashtra Navnirman Sena
1879,,,,,,
1880,Shrawasti,1,Daddan Mishra,"345,964",35.3%,Bharatiya Janta Party
1881,,2,Atiq Ahmad,"260,051",26.5%,Samajwadi Party
1882,,3,Lal Ji Verma,"194,890",19.9%,Bahujan Samaj Party
1883,,,,,,
1884,Sidhi,1,Riti Pathak,"475,678",48.1%,Bharatiya Janta Party
1885,,2,Indrajeet Kumar,"367,632",37.2%,Indian National Congress
1886,,3,Rama Shankar Shahwal,"39,387",4.0%,Bahujan Samaj Party
1887,,,,,,
1888,Sikar,1,Sumedhanand Saraswati,"499,428",46.9%,Bharatiya Janta Party
1889,,2,Pratap Singh Jat,"260,232",24.4%,Indian National Congress
1890,,3,Subhash Maharia,"188,841",17.7%,Independent
1891,,,,,,
1892,Sikkim,1,Prem Das Rai,"163,698",53.0%,Sikkim Democratic Front
1893,,2,Tek Nath Dhakal,"121,956",39.5%,Sikkim Krantikari Morcha
1894,,3,Nar Bahadur Khatiwada,"7,279",2.4%,Bharatiya Janta Party
1895,,,,,,
1896,Silchar,1,Sushmita Dev,"336,451",42.1%,Indian National Congress
1897,,2,Kabindra Purkayastha,"301,210",37.7%,Bharatiya Janta Party
1898,,3,Kutub Ahmed Mazumder,"85,530",10.7%,All India United Democratic Front
1899,,,,,,
1900,Singhbhum,1,Laxman Giluwa,"303,131",38.1%,Bharatiya Janta Party
1901,,2,Geeta Kora,"215,607",27.1%,Jai Bharat Samanta Party
1902,,3,Chitrasen Sinku,"111,796",14.1%,Indian National Congress
1903,,,,,,
1904,Sirsa,1,Charanjeet Singh Rori,"506,370",39.6%,Indian National Lok Dal
1905,,2,Ashok Tanwar,"390,634",30.5%,Indian National Congress
1906,,3,Dr. Sushil Indora,"241,067",18.8%,Haryana Janhit Congress (BL)
1907,,,,,,
1908,Sitamarhi,1,Ram Kumar Sharma,"411,265",45.7%,Rashtriya Lok Samta Party
1909,,2,Sitaram Yadav,"263,300",29.2%,Rashtriya Janata Dal
1910,,3,Arjun Rai,"97,188",10.8%,Janata Dal (United)
1911,,,,,,
1912,Sitapur,1,Rajesh Verma,"417,546",40.7%,Bharatiya Janta Party
1913,,2,Kaiser Jahan,"366,519",35.7%,Bahujan Samaj Party
1914,,3,Bharat Tripathi,"156,170",15.2%,Samajwadi Party
1915,,,,,,
1916,Sivaganga,1,Senthilnathan Pr,"475,993",46.3%,All India Anna Dravida Munnetra Kazhagam
1917,,2,Dhurai Raaj Subha,"246,608",24.0%,Dravida Munetra Kazhagam
1918,,3,Raja H,"133,763",13.0%,Bharatiya Janta Party
1919,,,,,,
1920,Siwan,1,Om Prakash Yadav,"372,670",42.2%,Bharatiya Janta Party
1921,,2,Hena Shahab,"258,823",29.3%,Rashtriya Janata Dal
1922,,3,Amar Nath Yadav,"81,006",9.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
1923,,,,,,
1924,Solapur,1,Sharad Bansode,"517,879",54.4%,Bharatiya Janta Party
1925,,2,Shinde Sushilkumar Sambhajirao,"368,205",38.7%,Indian National Congress
1926,,3,Adv. Sanjeev Sidram Sadafule,"19,041",2.0%,Bahujan Samaj Party
1927,,,,,,
1928,Sonipat,1,Ramesh Chander,"347,203",35.2%,Bharatiya Janta Party
1929,,2,Jagbir Singh Malik,"269,789",27.4%,Indian National Congress
1930,,3,Padam Singh,"264,404",26.8%,Indian National Lok Dal
1931,,,,,,
1932,South Delhi,1,Ramesh Bidhuri,"497,980",45.2%,Bharatiya Janta Party
1933,,2,Col Devinder Sehrawat,"390,980",35.5%,Aam Aadmi Party
1934,,3,Ramesh Kumar,"125,213",11.4%,Indian National Congress
1935,,,,,,
1936,South Goa,1,Adv. Narendra Keshav Sawaikar,"198,776",48.4%,Bharatiya Janta Party
1937,,2,Aleixo Reginaldo Lourenco,"166,446",40.6%,Indian National Congress
1938,,3,Churchill Alemao,"11,941",2.9%,All India Trinamool Congress
1939,,,,,,
1940,Srerampur,1,Kalyan Banerjee,"514,933",39.9%,All India Trinamool Congress
1941,,2,Tirthankar Ray,"362,407",28.1%,Communist Party Of India (MARXIST)
1942,,3,Bappi Lahiri,"287,712",22.3%,Bharatiya Janta Party
1943,,,,,,
1944,Srikakulam,1,Rammohan Naidu Kinjarapu,"556,163",52.9%,Telugu Desam
1945,,2,Reddy Shanthi,"428,591",40.8%,Yuvajana Sramika Rythu Congress Party
1946,,3,Killi Kruparani,"24,163",2.3%,Indian National Congress
1947,,,,,,
1948,Srinagar,1,Tariq Hameed Karra,"157,923",50.6%,Jammu &amp; Kashmir Peoples Democratic Party
1949,,2,Farooq Abdullah,"115,643",37.0%,Jammu &amp; Kashmir National Conference
1950,,3,Aga Syed Mohsin,"16,050",5.1%,Independent
1951,,,,,,
1952,Sriperumbudur,1,"Ramachandran, K.N. Thiru","545,820",42.4%,All India Anna Dravida Munnetra Kazhagam
1953,,2,"Jagathrakshakan, S. Thiru","443,174",34.4%,Dravida Munetra Kazhagam
1954,,3,"Masilamani, R. (DR).","187,094",14.5%,Marumalarchi Dravida Munnetra Kazhagam
1955,,,,,,
1956,Sultanpur,1,Feroze Varun Gandhi,"410,348",42.5%,Bharatiya Janta Party
1957,,2,Pawan Pandey,"231,446",24.0%,Bahujan Samaj Party
1958,,3,Shakeel Ahmed,"228,144",23.6%,Samajwadi Party
1959,,,,,,
1960,Sundargarh,1,Jual @ Juel Oram,"340,508",33.7%,Bharatiya Janta Party
1961,,2,Dilip Kumar Tirkey,"321,679",31.8%,Biju Janata Dal
1962,,3,Hemanand Biswal,"269,335",26.6%,Indian National Congress
1963,,,,,,
1964,Supaul,1,Ranjeet Ranjan,"332,927",34.3%,Indian National Congress
1965,,2,Dileshwar Kamait,"273,255",28.2%,Janata Dal (United)
1966,,3,Kameshwar Chaupal,"249,693",25.7%,Bharatiya Janta Party
1967,,,,,,
1968,Surat,1,Darshana Vikram Jardosh,"718,412",75.8%,Bharatiya Janta Party
1969,,2,Desai Naishadhbhai Bhupatbhai,"185,222",19.5%,Indian National Congress
1970,,3,Mohanbhai B. Patel,"18,877",2.0%,Aam Aadmi Party
1971,,,,,,
1972,Surendranagar,1,Fatepara Devajibhai Govindbhai,"529,003",56.0%,Bharatiya Janta Party
1973,,2,Koli Patel Somabhai Gandalal,"326,096",34.5%,Indian National Congress
1974,,3,Sapara Vipulbhai Rameshbhai,"14,524",1.5%,Independent
1975,,,,,,
1976,Tamluk,1,Adhikari Suvendu,"716,928",53.6%,All India Trinamool Congress
1977,,2,Sekh Ibrahim Ali,"470,447",35.2%,Communist Party Of India (MARXIST)
1978,,3,Badsha Alam,"86,265",6.4%,Bharatiya Janta Party
1979,,,,,,
1980,Tehri Garhwal,1,Mala Rajya Laxmi Shah,"446,733",57.6%,Bharatiya Janta Party
1981,,2,Saket Bahuguna,"254,230",32.8%,Indian National Congress
1982,,3,Anoop Nautiyal,"24,043",3.1%,Aam Aadmi Party
1983,,,,,,
1984,Tenkasi,1,Vasanthi.M,"424,586",41.7%,All India Anna Dravida Munnetra Kazhagam
1985,,2,Dr.Krishnasamy.K.,"262,812",25.8%,Puthiya Tamilagam
1986,,3,Dr.Sadhan Thirumalaikumar.T.,"190,233",18.7%,Marumalarchi Dravida Munnetra Kazhagam
1987,,,,,,
1988,Tezpur,1,Ram Prasad Sarmah,"446,511",45.5%,Bharatiya Janta Party
1989,,2,Bhupen Kumar Borah,"360,491",36.8%,Indian National Congress
1990,,3,Moni Kumar Subba,"62,730",6.4%,Independent
1991,,,,,,
1992,Thane,1,Vichare Rajan Baburao,"595,364",56.5%,Shiv Sena
1993,,2,Sanjeev Ganesh Naik,"314,065",29.8%,Nationalist Congress Party
1994,,3,Abhijit Ramesh Panse,"48,863",4.6%,Maharashtra Navnirman Sena
1995,,,,,,
1996,Thanjavur,1,Parasuraman.K,"510,307",50.4%,All India Anna Dravida Munnetra Kazhagam
1997,,2,Baalu.T.R,"366,188",36.2%,Dravida Munetra Kazhagam
1998,,3,Muruganantham.M,"58,521",5.8%,Bharatiya Janta Party
1999,,,,,,
2000,Theni,1,"Parthipan, R.","571,254",53.1%,All India Anna Dravida Munnetra Kazhagam
2001,,2,Pon. Muthuramalingam,"256,722",23.9%,Dravida Munetra Kazhagam
2002,,3,"Alagusundaram, K.","134,362",12.5%,Marumalarchi Dravida Munnetra Kazhagam
2003,,,,,,
2004,Thiruvallur,1,Venugopal.P.(DR),"628,499",50.1%,All India Anna Dravida Munnetra Kazhagam
2005,,2,Ravikumar.D,"305,069",24.3%,Viduthalai Chiruthaigal Katchi
2006,,3,Yuvaraj.V,"204,734",16.3%,Desiya Murpokku Dravida Kazhagam
2007,,,,,,
2008,Thiruvananthapuram,1,Dr. Shashi Tharoor,"297,806",34.1%,Indian National Congress
2009,,2,Sri. O Rajagopal,"282,336",32.3%,Bharatiya Janta Party
2010,,3,Sri. Doctor Bennet Abraham,"248,941",28.5%,Communist Party Of India
2011,,,,,,
2012,Thoothukkudi,1,Jeyasingh Thiyagaraj Natterjee.J,"366,052",39.9%,All India Anna Dravida Munnetra Kazhagam
2013,,2,Jegan. P,"242,050",26.4%,Dravida Munetra Kazhagam
2014,,3,Joel. S,"182,191",19.9%,Marumalarchi Dravida Munnetra Kazhagam
2015,,,,,,
2016,Thrissur,1,C. N. Jayadevan,"389,209",42.3%,Communist Party Of India
2017,,2,K. P. Dhanapalan,"350,982",38.1%,Indian National Congress
2018,,3,K.P. Sreesan,"102,681",11.2%,Bharatiya Janta Party
2019,,,,,,
2020,Tikamgarh,1,Dr. Virendra Kumar,"422,979",55.2%,Bharatiya Janta Party
2021,,2,Ahirwar Dr. Kamlesh Verma,"214,248",28.0%,Indian National Congress
2022,,3,Dr. Ambesh Kumari Ahirwar,"47,497",6.2%,Samajwadi Party
2023,,,,,,
2024,Tiruchirappalli,1,Kumar.P,"458,478",46.4%,All India Anna Dravida Munnetra Kazhagam
2025,,2,Anbhalagan.Mu,"308,002",31.2%,Dravida Munetra Kazhagam
2026,,3,Vijaykumar.Amg,"94,785",9.6%,Desiya Murpokku Dravida Kazhagam
2027,,,,,,
2028,Tirunelveli,1,Prabakaran.K.R.P,"398,139",41.4%,All India Anna Dravida Munnetra Kazhagam
2029,,2,Devadasa Sundaram,"272,040",28.3%,Dravida Munetra Kazhagam
2030,,3,Sivananenthaperumal.S.,"127,370",13.2%,Desiya Murpokku Dravida Kazhagam
2031,,,,,,
2032,Tirupati,1,Varaprasad Rao Velagapalli,"580,376",47.8%,Yuvajana Sramika Rythu Congress Party
2033,,2,Karumanchi Jayaram,"542,951",44.8%,Bharatiya Janta Party
2034,,3,Chinta Mohan,"33,333",2.7%,Indian National Congress
2035,,,,,,
2036,Tiruppur,1,V.Sathyabama,"442,778",42.2%,All India Anna Dravida Munnetra Kazhagam
2037,,2,N.Dineshkumar,"263,463",25.1%,Desiya Murpokku Dravida Kazhagam
2038,,3,M.Senthilnathan,"205,411",19.6%,Dravida Munetra Kazhagam
2039,,,,,,
2040,Tiruvannamalai,1,Vanaroja R,"500,751",46.9%,All India Anna Dravida Munnetra Kazhagam
2041,,2,Annadurai C N,"332,145",31.1%,Dravida Munetra Kazhagam
2042,,3,Ediroli Manian G,"157,954",14.8%,Pattali Makkal Katchi
2043,,,,,,
2044,Tonk-Sawai Madhopur,1,Sukhbir Singh Jaunapuria,"548,179",52.6%,Bharatiya Janta Party
2045,,2,Mohammed Azharuddin,"412,868",39.6%,Indian National Congress
2046,,3,Jagmohan Meena,"14,600",1.4%,National People's Party
2047,,,,,,
2048,Tripura East,1,Jitendra Choudhury,"623,771",65.6%,Communist Party Of India (MARXIST)
2049,,2,Sachitra Debbarma,"139,413",14.7%,Indian National Congress
2050,,3,Bhriguram Reang,"77,028",8.1%,All India Trinamool Congress
2051,,,,,,
2052,Tripura West,1,Sankar Prasad Datta,"671,665",62.6%,Communist Party Of India (MARXIST)
2053,,2,Arunoday Saha,"168,179",15.7%,Indian National Congress
2054,,3,Ratan Chakraborti,"117,727",11.0%,All India Trinamool Congress
2055,,,,,,
2056,Tumkur,1,Muddahanumegowda.S.P.,"429,868",39.0%,Indian National Congress
2057,,2,G.S.Basavaraj,"355,827",32.3%,Bharatiya Janta Party
2058,,3,A.Krishnappa,"258,683",23.5%,Janata Dal (Secular)
2059,,,,,,
2060,Tura,1,Purno Agitok Sangma,"239,301",52.2%,National People's Party
2061,,2,Daryl William Ch Momin,"199,585",43.6%,Indian National Congress
2062,,,,,,
2063,Udaipur,1,Arjunlal Meena,"660,373",55.3%,Bharatiya Janta Party
2064,,2,Raghuvir Singh,"423,611",35.5%,Indian National Congress
2065,,3,Meghraj Tawar,"33,743",2.8%,Communist Party Of India
2066,,,,,,
2067,Udhampur,1,Dr. Jitendra Singh,"487,369",46.8%,Bharatiya Janta Party
2068,,2,Ghulam Nabi Azad,"426,393",40.9%,Indian National Congress
2069,,3,Mohd Arshad Malik,"30,461",2.9%,Jammu &amp; Kashmir Peoples Democratic Party
2070,,,,,,
2071,Udupi Chikmagalur,1,Shobha Karandlaje,"581,168",56.2%,Bharatiya Janta Party
2072,,2,K Jayaprakash Hegde,"399,525",38.6%,Indian National Congress
2073,,3,V. Dhananjaya Kumar,"14,895",1.4%,Janata Dal (Secular)
2074,,,,,,
2075,Ujiarpur,1,Nityanand Rai,"317,352",36.9%,Bharatiya Janta Party
2076,,2,Alok Kumar Mehta,"256,883",29.9%,Rashtriya Janata Dal
2077,,3,Ashwamedh Devi,"119,669",13.9%,Janata Dal (United)
2078,,,,,,
2079,Ujjain,1,Prof. Chintamani Malviya,"641,101",63.1%,Bharatiya Janta Party
2080,,2,Premchand Guddu,"331,438",32.6%,Indian National Congress
2081,,3,Ramprasad Jatwa,"9,969",1.0%,Bahujan Samaj Party
2082,,,,,,
2083,Uluberia,1,Sultan Ahmed,"570,785",48.1%,All India Trinamool Congress
2084,,2,Sabir Uddin Molla,"369,563",31.2%,Communist Party Of India (MARXIST)
2085,,3,Ranjit Kishore Mohanty,"137,137",11.6%,Bharatiya Janta Party
2086,,,,,,
2087,Unnao,1,Swami Sachchidanand Hari Sakshi,"518,834",43.2%,Bharatiya Janta Party
2088,,2,Arun Shankar Shukla,"208,661",17.4%,Samajwadi Party
2089,,3,Brajesh Pathak,"200,176",16.7%,Bahujan Samaj Party
2090,,,,,,
2091,Uttara Kannada,1,Anantkumar Hegde,"546,939",54.6%,Bharatiya Janta Party
2092,,2,Prashant R Deshpande,"406,239",40.6%,Indian National Congress
2093,,3,Naik Santhosh,"7,404",0.7%,Bahujan Samaj Party
2094,,,,,,
2095,Vadakara,1,Mullappally Ramachandran,"416,479",43.4%,Indian National Congress
2096,,2,Adv.A.N.Shamseer,"413,173",43.1%,Communist Party Of India (MARXIST)
2097,,3,V.K.Sajeevan,"76,313",8.0%,Bharatiya Janta Party
2098,,,,,,
2099,Vadodara,1,Narendra Modi,"845,464",72.8%,Bharatiya Janta Party
2100,,2,Mistri Madhusudan Devram,"275,336",23.7%,Indian National Congress
2101,,3,Sunil Digambar Kulkarni,"10,101",0.9%,Aam Aadmi Party
2102,,,,,,
2103,Vaishali,1,Rama Kishore Singh,"305,450",33.0%,Lok Jan Shakti Party
2104,,2,Raghuvansh Prasad Singh,"206,183",22.3%,Rashtriya Janata Dal
2105,,3,Vijay Kumar Sahni,"145,182",15.7%,Janata Dal (United)
2106,,,,,,
2107,Valmiki Nagar,1,Satish Chandra Dubey,"364,011",40.4%,Bharatiya Janta Party
2108,,2,Purnmasi Ram,"246,218",27.4%,Indian National Congress
2109,,3,Baidya Nath Prasad Mahato,"81,612",9.1%,Janata Dal (United)
2110,,,,,,
2111,Valsad,1,Dr. K.C.Patel,"617,772",55.0%,Bharatiya Janta Party
2112,,2,Kishanbhai Vestabhai Patel,"409,768",36.5%,Indian National Congress
2113,,3,Thakriya Ratilal Vajirbhai,"14,202",1.3%,Bahujan Samaj Party
2114,,,,,,
2115,Varanasi,1,Narendra Modi,"581,022",56.4%,Bharatiya Janta Party
2116,,2,Arvind Kejriwal,"209,238",20.3%,Aam Aadmi Party
