,Place,Rank,Name,No.of votes,Percentage of votes,Party
1720,Rajkot,1,Kuvarjibhai Mohanbhai Bavalia,"307,553",47.3%,Indian National Congress
1721,,2,Kirankumar Valjibhai Bhalodia (Patel),"282,818",43.5%,Bharatiya Janta Party
1722,,3,Dhedhi Daleechandbhai Lirabhai (Patel),"14,653",2.3%,Bahujan Samaj Party
1723,,,,,,
1724,Rajmahal,1,Devidhan Besra,"168,357",26.1%,Bharatiya Janta Party
1725,,2,Hemlal Murmu,"159,374",24.7%,Jharkhand Mukti Morcha
1726,,3,Thomas Hasda,"135,011",20.9%,Rashtriya Janata Dal
1727,,,,,,
1728,Rajnandgaon,1,Madhusudan Yadav,"437,721",52.7%,Bharatiya Janta Party
1729,,2,Devwrat Singh,"318,647",38.4%,Indian National Congress
1730,,3,D.R.Yadav Pracharya,"19,984",2.4%,Independent
1731,,,,,,
1732,Rajsamand,1,Gopal Singh,"294,451",49.8%,Indian National Congress
1733,,2,Rasa Singh Rawat,"248,561",42.0%,Bharatiya Janta Party
1734,,3,Surya Bhavani Singh Chawra,"13,746",2.3%,Independent
1735,,,,,,
1736,Ramanathapuram,1,Sivakumar @ J.K. Ritheesh. K,"294,945",37.8%,Dravida Munetra Kazhagam
1737,,2,Sathiamoorthy. V,"225,030",28.9%,All India Anna Dravida Munnetra Kazhagam
1738,,3,Thirunnavukkarasar. Su,"128,322",16.5%,Bharatiya Janta Party
1739,,,,,,
1740,Rampur,1,Jaya Prada Nahata,"230,724",38.1%,Samajwadi Party
1741,,2,Begum Noor Bano Urf Mehtab Zamani Begum,"199,793",33.0%,Indian National Congress
1742,,3,Ghan Shyam Singh Lodhi,"95,132",15.7%,Bahujan Samaj Party
1743,,,,,,
1744,Ramtek,1,Wasnik Mukul Balkrishna,"311,614",40.7%,Indian National Congress
1745,,2,Tumane Krupal Balaji,"294,913",38.5%,Shiv Sena
1746,,3,Prakashbhau Kishan Tembhurne,"62,238",8.1%,Bahujan Samaj Party
1747,,,,,,
1748,Ranaghat,1,Sucharu Ranjan Haldar,"575,058",50.1%,All India Trinamool Congress
1749,,2,Basudeb Barman,"473,235",41.2%,Communist Party Of India (MARXIST)
1750,,3,Sukalyan Ray,"57,844",5.0%,Bharatiya Janta Party
1751,,,,,,
1752,Ranchi,1,Subodh Kant Sahay,"310,499",42.9%,Indian National Congress
1753,,2,Ram Tahal Choudhary,"297,149",41.0%,Bharatiya Janta Party
1754,,3,Akhtar Ansari,"31,567",4.4%,Jharkhand Vikas Morcha (Prajatantrik)
1755,,,,,,
1756,Ratlam,1,Kantilal Bhuria,"308,923",48.4%,Indian National Congress
1757,,2,Dileepsingh Bhuria,"251,255",39.4%,Bharatiya Janta Party
1758,,3,Rameshwor Singar,"22,946",3.6%,Independent
1759,,,,,,
1760,Ratnagiri - Sindhudurg,1,Dr.Nilesh Narayan Rane,"353,915",49.2%,Indian National Congress
1761,,2,Suresh Prabhu,"307,165",42.7%,Shiv Sena
1762,,3,Surendra Borkar,"18,858",2.6%,Independent
1763,,,,,,
1764,Raver,1,Haribhau Madhav Jawale,"328,843",45.7%,Bharatiya Janta Party
1765,,2,Adv. Ravindra Pralhadrao Patil,"300,625",41.7%,Nationalist Congress Party
1766,,3,Patil Suresh Chindhu,"33,641",4.7%,Bahujan Samaj Party
1767,,,,,,
1768,Rewa,1,Deoraj Singh Patel,"172,002",28.5%,Bahujan Samaj Party
1769,,2,Sunder Lal Tiwari,"167,981",27.8%,Indian National Congress
1770,,3,Chandra Mani Tripathi,"116,300",19.3%,Bharatiya Janta Party
1771,,,,,,
1772,Robertsganj,1,Pakauri Lal,"216,478",36.4%,Samajwadi Party
1773,,2,Ram Chandra Tyagi,"166,219",27.9%,Bahujan Samaj Party
1774,,3,Ram Shakal,"104,411",17.5%,Bharatiya Janta Party
1775,,,,,,
1776,Rohtak,1,Deepender Singh,"585,016",70.0%,Indian National Congress
1777,,2,Nafe Singh Rathee,"139,280",16.7%,Indian National Lok Dal
1778,,3,Raj Kumar,"68,210",8.2%,Bahujan Samaj Party
1779,,,,,,
1780,Sabarkantha,1,Chauhan Mahendrasinh,"337,432",47.0%,Bharatiya Janta Party
1781,,2,Mistry Madhusudan,"320,272",44.6%,Indian National Congress
1782,,3,Solanki Chhaganbhai Kevalabhai,"28,135",3.9%,Independent
1783,,,,,,
1784,Sagar,1,Bhupendra Singh,"323,954",56.8%,Bharatiya Janta Party
1785,,2,Aslam Sher Khan,"192,786",33.8%,Indian National Congress
1786,,3,Gouri Singh Yadav,"12,716",2.2%,Samajwadi Party
1787,,,,,,
1788,Saharanpur,1,Jagdish Singh Rana,"354,807",43.2%,Bahujan Samaj Party
1789,,2,Rasheed Masood,"269,934",32.9%,Samajwadi Party
1790,,3,Jaswant Singh Saini,"99,894",12.2%,Bharatiya Janta Party
1791,,,,,,
1792,Salem,1,Semmalai S,"380,460",42.5%,All India Anna Dravida Munnetra Kazhagam
1793,,2,Thangkabalu K V,"333,969",37.3%,Indian National Congress
1794,,3,Alagaapuram R Mohanraj,"120,325",13.4%,Desiya Murpokku Dravida Kazhagam
1795,,,,,,
1796,Salempur,1,Ramashankar Rajbhar,"175,088",27.6%,Bahujan Samaj Party
1797,,2,Dr. Bhola Pandey,"156,783",24.7%,Indian National Congress
1798,,3,Harikewal,"135,414",21.3%,Samajwadi Party
1799,,,,,,
1800,Samastipur,1,Maheshwar Hazari,"259,458",44.4%,Janata Dal (United)
1801,,2,Ram Chandra Paswan,"155,082",26.5%,Lok Jan Shakti Party
1802,,3,Dr. Ashok Kumar,"91,655",15.7%,Indian National Congress
1803,,,,,,
1804,Sambalpur,1,Amarnath Pradhan,"304,890",38.1%,Indian National Congress
1805,,2,Rohit Pujari,"290,016",36.2%,Biju Janata Dal
1806,,3,Surendra Lath,"150,910",18.9%,Bharatiya Janta Party
1807,,,,,,
1808,Sambhal,1,Dr. Shafiqur Rahman Barq,"207,422",30.4%,Bahujan Samaj Party
1809,,2,Iqbal Mehmood,"193,958",28.4%,Samajwadi Party
1810,,3,Chandra Vijay,"129,228",18.9%,Indian National Congress
1811,,,,,,
1812,Sangli,1,Pratik Prakashbapu Patil,"378,620",48.6%,Indian National Congress
1813,,2,Ajitrao Shankarrao Ghorpade,"338,837",43.5%,Independent
1814,,3,Patel M.Javed M. Yusuf,"11,793",1.5%,Bahujan Samaj Party
1815,,,,,,
1816,Sangrur,1,Vijay Inder Singla,"358,670",38.5%,Indian National Congress
1817,,2,Sukhdev Singh Dhindsa,"317,798",34.1%,Shiromani Akali Dal
1818,,3,Balwant Singh Ramuwalia,"115,012",12.4%,Lok Bhalai Party
1819,,,,,,
1820,Sant Kabir Nagar,1,Bhisma Shankar Alias Kushal Tiwari,"211,043",26.3%,Bahujan Samaj Party
1821,,2,Sharad Tripathi,"181,547",22.7%,Bharatiya Janta Party
1822,,3,Bhal Chandra Yadav,"171,045",21.4%,Samajwadi Party
1823,,,,,,
1824,Saran,1,Lalu Prasad,"274,209",47.2%,Rashtriya Janata Dal
1825,,2,Rajiv Pratap Rudy,"222,394",38.3%,Bharatiya Janta Party
1826,,3,Salim Perwez,"45,027",7.8%,Bahujan Samaj Party
1827,,,,,,
1828,Sarguja,1,Murarilal Singh,"416,532",51.7%,Bharatiya Janta Party
1829,,2,Bhanu Pratap Singh,"256,984",31.9%,Indian National Congress
1830,,3,Dhan Singh Dhurve,"20,700",2.6%,Bahujan Samaj Party
1831,,,,,,
1832,Sasaram,1,Meira Kumar,"192,213",32.1%,Indian National Congress
1833,,2,Muni Lal,"149,259",24.9%,Bharatiya Janta Party
1834,,3,Lalan Paswan,"109,498",18.3%,Rashtriya Janata Dal
1835,,,,,,
1836,Satara,1,Bhonsle Shrimant Chh. Udyanraje Pratapsinhmaharaj,"532,583",65.2%,Nationalist Congress Party
1837,,2,Purushottam Bajirao Jadhav,"235,068",28.8%,Shiv Sena
1838,,3,Chavan Prashant Vasant,"25,112",3.1%,Bahujan Samaj Party
1839,,,,,,
1840,Satna,1,Ganesh Singh,"194,624",29.5%,Bharatiya Janta Party
1841,,2,Sukhlal Kushwaha,"190,206",28.8%,Bahujan Samaj Party
1842,,3,Pt. Rajaram Tripathi,"130,339",19.7%,Samajwadi Party
1843,,,,,,
1844,Secundrabad,1,Anjan Kumar Yadav M,"340,549",39.3%,Indian National Congress
1845,,2,Bandaru Dattatreya,"170,382",19.7%,Bharatiya Janta Party
1846,,3,Srinivasa Sudhish Rambhotla,"135,604",15.7%,Telugu Desam
1847,,,,,,
1848,Shahdol,1,Rajesh Nandini Singh,"263,434",41.8%,Indian National Congress
1849,,2,Narendra Singh Maravi,"250,019",39.7%,Bharatiya Janta Party
1850,,3,Ramratan Singh Pavle,"30,967",4.9%,Gondvana Gantantra Party
1851,,,,,,
1852,Shahjahanpur,1,Mithlesh,"257,033",32.4%,Samajwadi Party
1853,,2,Sunita Singh,"186,454",23.5%,Bahujan Samaj Party
1854,,3,Krishna Raj,"168,434",21.3%,Bharatiya Janta Party
1855,,,,,,
1856,Sheohar,1,Rama Devi,"233,499",40.7%,Bharatiya Janta Party
1857,,2,Md. Anwarul Haque,"107,815",18.8%,Bahujan Samaj Party
1858,,3,Sitaram Singh,"89,584",15.6%,Rashtriya Janata Dal
1859,,,,,,
1860,Shillong,1,Vincent H Pala,"232,270",48.3%,Indian National Congress
1861,,2,John Filmore Kharshiing,"124,402",25.9%,United Democratic Party
1862,,3,P. B. M. Basaiawmoit,"97,613",20.3%,Hill State People's Democratic Party
1863,,,,,,
1864,Shimla,1,Virender Kashyap,"310,946",50.4%,Bharatiya Janta Party
1865,,2,Dhani Ram Shandil,"283,619",46.0%,Indian National Congress
1866,,3,Som Nath,"8,160",1.3%,Bahujan Samaj Party
1867,,,,,,
1868,Shimoga,1,B.Y. Raghavendra,"482,783",50.6%,Bharatiya Janta Party
1869,,2,S. Bangarappa,"429,890",45.0%,Indian National Congress
1870,,3,H.S. Shekarappa,"10,850",1.1%,Independent
1871,,,,,,
1872,Shirdi,1,Wakchaure Bhausaheb Rajaram,"359,921",54.2%,Shiv Sena
1873,,2,Athawale Ramdas Bandu,"227,170",34.2%,Republican Party Of India (A)
1874,,3,Rupwate Premanand Damodar,"22,787",3.4%,Independent
1875,,,,,,
1876,Shirur,1,Adhalrao Shivaji Dattatray,"482,563",57.5%,Shiv Sena
1877,,2,Vilas Vithoba Lande,"303,952",36.2%,Nationalist Congress Party
1878,,3,Zagade Yashwant Sitaram,"17,439",2.1%,Bahujan Samaj Party
1879,,,,,,
1880,Shrawasti,1,Vinay Kumar Alias Vinnu,"201,556",33.3%,Indian National Congress
1881,,2,Rizvan Zaheer,"159,527",26.4%,Bahujan Samaj Party
1882,,3,Rubab Saida,"111,247",18.4%,Samajwadi Party
1883,,,,,,
1884,Sidhi,1,Govind Prasad Mishra,"270,914",40.1%,Bharatiya Janta Party
1885,,2,Indrajeet Kumar,"225,174",33.3%,Indian National Congress
1886,,3,Veena Singh (Veena Didi),"66,985",9.9%,Independent
1887,,,,,,
1888,Sikar,1,Mahadev Singh,"324,812",44.7%,Indian National Congress
1889,,2,Subhash Maharia,"175,386",24.2%,Bharatiya Janta Party
1890,,3,Amararam,"161,590",22.3%,Communist Party Of India (MARXIST)
1891,,,,,,
1892,Sikkim,1,Prem Das Rai,"159,351",62.0%,Sikkim Democratic Front
1893,,2,Kharananda Upreti,"74,483",29.0%,Indian National Congress
1894,,3,Tara Kr. Pradhan,"4,639",1.8%,Sikkim Himali Rajya Parishad
1895,,,,,,
1896,Silchar,1,Kabindra Purkayastha,"243,532",35.4%,Bharatiya Janta Party
1897,,2,Badruddin Ajmal,"202,062",29.3%,Assam United Democratic Front
1898,,3,Sontosh Mohan Dev,"197,244",28.6%,Indian National Congress
1899,,,,,,
1900,Singhbhum,1,Madhu Kora,"256,827",44.3%,Independent
1901,,2,Barkuwar Gagrai,"167,154",28.8%,Bharatiya Janta Party
1902,,3,Bagun Sumbrai,"95,604",16.5%,Indian National Congress
1903,,,,,,
1904,Sirsa,1,Ashok Tanwar,"415,584",42.3%,Indian National Congress
1905,,2,Dr. Sita Ram,"380,085",38.7%,Indian National Lok Dal
1906,,3,Rajesh Kumar,"76,010",7.7%,Bahujan Samaj Party
1907,,,,,,
1908,Sitamarhi,1,Arjun Roy,"232,782",40.4%,Janata Dal (United)
1909,,2,Samir Kumar Mahaseth,"122,216",21.2%,Indian National Congress
1910,,3,Sitaram Yadav,"118,798",20.6%,Rashtriya Janata Dal
1911,,,,,,
1912,Sitapur,1,Kaisar Jahan,"241,106",34.2%,Bahujan Samaj Party
1913,,2,Mahendra Singh Verma,"221,474",31.4%,Samajwadi Party
1914,,3,Ram Lal Rahi,"117,281",16.6%,Indian National Congress
1915,,,,,,
1916,Sivaganga,1,Chidambaram P,"334,348",43.1%,Indian National Congress
1917,,2,Raja Kannappan R.S.,"330,994",42.7%,All India Anna Dravida Munnetra Kazhagam
1918,,3,Barwatha Regina Papa,"60,054",7.7%,Desiya Murpokku Dravida Kazhagam
1919,,,,,,
1920,Siwan,1,Om Prakash Yadav,"236,194",36.8%,Independent
1921,,2,Hena Shahab,"172,764",26.9%,Rashtriya Janata Dal
1922,,3,Amar Nath Yadav,"72,988",11.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
1923,,,,,,
1924,Solapur,1,Shinde Sushilkumar Sambhajirao,"387,591",52.1%,Indian National Congress
1925,,2,Adv. Bansode Sharad Maruti,"287,959",38.7%,Bharatiya Janta Party
1926,,3,Gaikwad Pramod Ramchandra,"30,457",4.1%,Bahujan Samaj Party
1927,,,,,,
1928,Sonipat,1,Jitender Singh,"338,795",47.6%,Indian National Congress
1929,,2,Kishan Singh Sangwan,"177,511",24.9%,Bharatiya Janta Party
1930,,3,Devraj Diwan,"112,837",15.8%,Bahujan Samaj Party
1931,,,,,,
1932,South Delhi,1,Ramesh Kumar,"360,278",49.3%,Indian National Congress
1933,,2,Ramesh Bidhuri,"267,059",36.5%,Bharatiya Janta Party
1934,,3,Kanwar Singh Tanwar,"88,120",12.0%,Bahujan Samaj Party
1935,,,,,,
1936,South Goa,1,Cosme Francisco Caitano Sardinha,"127,494",46.8%,Indian National Congress
1937,,2,Adv. Narendra Keshav Sawaikar,"114,978",42.2%,Bharatiya Janta Party
1938,,3,Matanhy Saldanha,"16,727",6.1%,United Goans Democratic Party
1939,,,,,,
1940,Srerampur,1,Kalyan Banerjee,"569,725",52.7%,All India Trinamool Congress
1941,,2,Santasri Chatterjee,"432,535",40.0%,Communist Party Of India (MARXIST)
1942,,3,Debabrata Chowdhury,"38,476",3.6%,Bharatiya Janta Party
1943,,,,,,
1944,Srikakulam,1,Killi Krupa Rani,"387,694",42.1%,Indian National Congress
1945,,2,Yerrnnaidu Kinjarapu,"304,707",33.1%,Telugu Desam
1946,,3,Kalyani Varudu,"181,100",19.6%,Praja Rajyam Party
1947,,,,,,
1948,Srinagar,1,Farooq Abdullah,"147,035",52.0%,Jammu &amp; Kashmir National Conference
1949,,2,Iftikhar Hussain Ansari,"116,793",41.3%,Jammu &amp; Kashmir Peoples Democratic Party
1950,,3,Mohd Alyas Kumar,"4,540",1.6%,Independent
1951,,,,,,
1952,Sriperumbudur,1,Baalu T R,"352,641",44.4%,Dravida Munetra Kazhagam
1953,,2,Moorthy A K,"327,605",41.2%,Pattali Makkal Katchi
1954,,3,Arun Subramanian M,"84,530",10.6%,Desiya Murpokku Dravida Kazhagam
1955,,,,,,
1956,Sultanpur,1,Dr.Sanjay Singh,"300,411",42.4%,Indian National Congress
1957,,2,Mohd.Tahir,"201,632",28.5%,Bahujan Samaj Party
1958,,3,Ashok Pandey,"107,895",15.2%,Samajwadi Party
1959,,,,,,
1960,Sundargarh,1,Hemanand Biswal,"280,054",36.5%,Indian National Congress
1961,,2,Jual Oram,"268,430",35.0%,Bharatiya Janta Party
1962,,3,Livinus Kindo,"74,558",9.7%,Jharkhand Mukti Morcha
1963,,,,,,
1964,Supaul,1,Vishwa Mohan Kumar,"313,677",45.0%,Janata Dal (United)
1965,,2,Ranjeet Ranjan,"147,602",21.2%,Indian National Congress
1966,,3,Surya Narayan Yadav,"93,094",13.3%,Lok Jan Shakti Party
1967,,,,,,
1968,Surat,1,Shrimati Darshana Vikram Jardosh,"364,947",52.4%,Bharatiya Janta Party
1969,,2,Gajera Dhirubhai Haribhai,"290,149",41.7%,Indian National Congress
1970,,3,Fakirbhai Chauhan,"15,519",2.2%,Mahagujarat Janta Party
1971,,,,,,
1972,Surendranagar,1,Koli Patel Somabhai Gandalal,"247,710",42.2%,Indian National Congress
1973,,2,Mer Laljibhai Chaturbhai,"242,879",41.4%,Bharatiya Janta Party
1974,,3,Patel Mohanbhai Dahyabhai,"31,971",5.5%,Bahujan Samaj Party
1975,,,,,,
1976,Tamluk,1,Adhikari Suvendu,"637,664",55.5%,All India Trinamool Congress
1977,,2,Lakshman Chandra Seth,"464,706",40.5%,Communist Party Of India (MARXIST)
1978,,3,Rajyashree Chaudhuri,"20,573",1.8%,Bharatiya Janta Party
1979,,,,,,
1980,Tehri Garhwal,1,Vijay Bahuguna,"263,083",44.9%,Indian National Congress
1981,,2,Jaspal Rana,"210,144",35.9%,Bharatiya Janta Party
1982,,3,Munna Singh Chauhan,"74,345",12.7%,Bahujan Samaj Party
1983,,,,,,
1984,Tenkasi,1,Lingam P,"281,174",37.6%,Communist Party Of India
1985,,2,Vellaipandi G,"246,497",33.0%,Indian National Congress
1986,,3,"Krishnasamy, Dr. K","116,685",15.6%,Puthiya Tamilagam
1987,,,,,,
1988,Tezpur,1,Joseph Toppo,"352,246",41.8%,Asom Gana Parisad
1989,,2,Moni Kumar Subba,"322,093",38.2%,Indian National Congress
1990,,3,Deba Orang,"46,255",5.5%,Assam United Democratic Front
1991,,,,,,
1992,Thane,1,Dr.Sanjeev Ganesh Naik,"301,000",40.1%,Nationalist Congress Party
1993,,2,Chaugule Vijay Laxman,"251,980",33.6%,Shiv Sena
1994,,3,Rajan Raje,"134,840",18.0%,Maharashtra Navnirman Sena
1995,,,,,,
1996,Thanjavur,1,Palanimanickam.S.S,"408,343",50.5%,Dravida Munetra Kazhagam
1997,,2,Durai.Balakrishnan,"306,556",37.9%,Marumalarchi Dravida Munnetra Kazhagam
1998,,3,Ramanathan.P.Dr,"63,852",7.9%,Desiya Murpokku Dravida Kazhagam
1999,,,,,,
2000,Theni,1,Aaron Rashid.J.M,"340,575",42.5%,Indian National Congress
2001,,2,Thanga Tamilselvan,"334,273",41.8%,All India Anna Dravida Munnetra Kazhagam
2002,,3,Santhanam.M.G.,"70,908",8.9%,Desiya Murpokku Dravida Kazhagam
2003,,,,,,
2004,Thiruvallur,1,Venugopal.P,"368,294",43.3%,All India Anna Dravida Munnetra Kazhagam
2005,,2,Gayathri.S,"336,621",39.6%,Dravida Munetra Kazhagam
2006,,3,Suresh.R,"110,452",13.0%,Desiya Murpokku Dravida Kazhagam
2007,,,,,,
2008,Thiruvananthapuram,1,Shashi Tharoor,"326,725",44.2%,Indian National Congress
2009,,2,Adv. P Ramachandran Nair,"226,727",30.6%,Communist Party Of India
2010,,3,Dr.A Neelalohithadasan Nadar,"86,233",11.7%,Bahujan Samaj Party
2011,,,,,,
2012,Thoothukkudi,1,Jeyadurai.S.R,"311,017",47.4%,Dravida Munetra Kazhagam
2013,,2,Cynthia Pandian.Dr,"234,368",35.7%,All India Anna Dravida Munnetra Kazhagam
2014,,3,Sunther.M.S,"61,403",9.4%,Desiya Murpokku Dravida Kazhagam
2015,,,,,,
2016,Thrissur,1,P C Chacko,"385,297",47.1%,Indian National Congress
2017,,2,C N Jayadevan,"360,146",44.1%,Communist Party Of India
2018,,3,Rema Regunandan,"54,680",6.7%,Bharatiya Janta Party
2019,,,,,,
2020,Tikamgarh,1,Virendra Kumar,"200,109",38.1%,Bharatiya Janta Party
2021,,2,Ahirwar Vrindavan,"158,247",30.1%,Indian National Congress
2022,,3,Chintaman Kori Rampuriya,"80,625",15.3%,Samajwadi Party
2023,,,,,,
2024,Tiruchirappalli,1,Kumar.P,"298,710",41.5%,All India Anna Dravida Munnetra Kazhagam
2025,,2,Sarubala.R.Thondaiman,"294,375",40.9%,Indian National Congress
2026,,3,Vijaykumar.Amg,"61,742",8.6%,Desiya Murpokku Dravida Kazhagam
2027,,,,,,
2028,Tirunelveli,1,Ramasubbu S,"274,932",39.2%,Indian National Congress
2029,,2,Annamalai K,"253,629",36.2%,All India Anna Dravida Munnetra Kazhagam
2030,,3,Michael Rayappan S,"94,562",13.5%,Desiya Murpokku Dravida Kazhagam
2031,,,,,,
2032,Tirupati,1,Chinta Mohan,"428,403",40.2%,Indian National Congress
2033,,2,Varla Ramaiah,"409,127",38.4%,Telugu Desam
2034,,3,Varaprasada Rao. V,"171,638",16.1%,Praja Rajyam Party
2035,,,,,,
2036,Tiruppur,1,Sivasami C,"295,731",39.8%,All India Anna Dravida Munnetra Kazhagam
2037,,2,Kharventhan S K,"210,385",28.3%,Indian National Congress
2038,,3,Balasubramanian K,"95,299",12.8%,Kongu Nadu Munnetra Kazhagam
2039,,,,,,
2040,Tiruvannamalai,1,Venugopal.D,"436,866",51.9%,Dravida Munetra Kazhagam
2041,,2,Guru (A) Gurunathan. J,"288,566",34.3%,Pattali Makkal Katchi
2042,,3,Manikandan.S,"56,960",6.8%,Desiya Murpokku Dravida Kazhagam
2043,,,,,,
2044,Tonk-Sawai Madhopur,1,Namo Narain,"375,572",46.8%,Indian National Congress
2045,,2,Kirori Singh Bainsla,"375,255",46.8%,Bharatiya Janta Party
2046,,3,Surendera Vyas,"23,457",2.9%,Bahujan Samaj Party
2047,,,,,,
2048,Tripura East,1,Baju Ban Riyan,"521,084",63.2%,Communist Party Of India (MARXIST)
2049,,2,Diba Chandra Hrangkhawl,"225,503",27.4%,Indian National Congress
2050,,3,Pulin Behari Dewan,"33,989",4.1%,Bharatiya Janta Party
2051,,,,,,
2052,Tripura West,1,Khagen Das,"563,799",59.9%,Communist Party Of India (MARXIST)
2053,,2,Sudip Roy Barman,"315,250",33.5%,Indian National Congress
2054,,3,Nilmani Deb,"25,468",2.7%,Bharatiya Janta Party
2055,,,,,,
2056,Tumkur,1,G.S. Basavaraj,"331,064",36.8%,Bharatiya Janta Party
2057,,2,Muddahanumegowda S.P.,"309,619",34.4%,Janata Dal (Secular)
2058,,3,P. Kodandaramaiah,"177,726",19.7%,Indian National Congress
2059,,,,,,
2060,Tura,1,Agatha K. Sangma,"154,476",45.1%,Nationalist Congress Party
2061,,2,Debora C. Marak,"136,531",39.9%,Indian National Congress
2062,,3,Boston Marak,"40,204",11.7%,A-Chik National Congress(Democratic)
2063,,,,,,
2064,Udaipur,1,Raghuvir Singh Meena,"411,510",54.2%,Indian National Congress
2065,,2,Mahaveer Bhagora,"246,585",32.5%,Bharatiya Janta Party
2066,,3,Meghraj Tawar,"27,324",3.6%,Communist Party Of India
2067,,,,,,
2068,Udhampur,1,Ch. Lal Singh,"231,853",37.9%,Indian National Congress
2069,,2,Dr. Nirmal Singh,"218,459",35.7%,Bharatiya Janta Party
2070,,3,Prof. Bhim Singh,"69,463",11.4%,J &amp; K National Panthers Party
2071,,,,,,
2072,Udupi Chikmagalur,1,D.V.Sadananda Gowda,"401,441",48.0%,Bharatiya Janta Party
2073,,2,K.Jayaprakash Hegde,"374,423",44.8%,Indian National Congress
2074,,3,Radha Sundaresh,"24,991",3.0%,Communist Party Of India
2075,,,,,,
2076,Ujiarpur,1,Aswamedh Devi,"180,082",31.9%,Janata Dal (United)
2077,,2,Alok Kumar Mehta,"154,770",27.4%,Rashtriya Janata Dal
2078,,3,Ramdeo Verma,"58,900",10.4%,Communist Party Of India (MARXIST)
2079,,,,,,
2080,Ujjain,1,Guddu Premchand,"326,905",49.0%,Indian National Congress
2081,,2,Dr. Satyanarayan Jatiya,"311,064",46.6%,Bharatiya Janta Party
2082,,3,Baboolal Thawaliya,"9,224",1.4%,Bahujan Samaj Party
2083,,,,,,
2084,Uluberia,1,Sultan Ahmed,"514,193",50.9%,All India Trinamool Congress
2085,,2,Hannan Mollah,"415,257",41.1%,Communist Party Of India (MARXIST)
2086,,3,Rahul Chakrabarty,"42,434",4.2%,Bharatiya Janta Party
2087,,,,,,
2088,Unnao,1,Annutandon,"475,476",52.6%,Indian National Congress
2089,,2,Arunshankarshukla,"173,384",19.2%,Bahujan Samaj Party
2090,,3,Deepakkumar,"145,139",16.0%,Samajwadi Party
2091,,,,,,
2092,Uttara Kannada,1,Anantkumar Hegde,"339,300",44.6%,Bharatiya Janta Party
2093,,2,Margaret Alva,"316,531",41.6%,Indian National Congress
2094,,3,V D Hegade,"48,850",6.4%,Janata Dal (Secular)
2095,,,,,,
2096,Vadakara,1,Mullappally Ramachandran,"421,255",48.6%,Indian National Congress
2097,,2,Adv. P. Satheedevi,"365,069",42.1%,Communist Party Of India (MARXIST)
2098,,3,K.P Sreesan,"40,391",4.7%,Bharatiya Janta Party
2099,,,,,,
2100,Vadodara,1,Balkrishna Khanderao Shukla (Balu Shukla),"428,833",57.4%,Bharatiya Janta Party
2101,,2,Gaekwad Satyajitsinh Dulapsinh,"292,805",39.2%,Indian National Congress
2102,,3,Vasava Harilal Shanabhai,"9,896",1.3%,Independent
2103,,,,,,
2104,Vaishali,1,Raghuvansh Prasad Singh,"284,479",45.5%,Rashtriya Janata Dal
2105,,2,Vijay Kumar Shukla,"262,171",42.0%,Janata Dal (United)
2106,,3,Shankar Mahto,"17,462",2.8%,Bahujan Samaj Party
2107,,,,,,
2108,Valmiki Nagar,1,Baidyanath Prasad Mahto,"277,696",46.4%,Janata Dal (United)
2109,,2,Fakhruddin,"94,021",15.7%,Independent
2110,,3,Manan Mishra,"46,058",7.7%,Bahujan Samaj Party
2111,,,,,,
2112,Valsad,1,Kishanbhai Vestabhai Patel,"357,755",46.2%,Indian National Congress
2113,,2,Patel Dhirubhai Chhaganbhai (Dr. D.C.Patel),"350,586",45.3%,Bharatiya Janta Party
2114,,3,Patel Rambhai Koyabhai,"27,429",3.5%,Independent
2115,,,,,,
2116,Varanasi,1,Dr. Murli Manohar Joshi,"203,122",30.5%,Bharatiya Janta Party
2117,,2,Mukhtar Ansari,"185,911",27.9%,Bahujan Samaj Party
2118,,3,Ajay Rai,"123,874",18.6%,Samajwadi Party
2119,,,,,,
2120,Vellore,1,Abdul Rahman,"360,474",49.8%,Dravida Munetra Kazhagam
2121,,2,Vasu L K M B,"253,081",35.0%,All India Anna Dravida Munnetra Kazhagam
2122,,3,Shoukath Sherif,"62,696",8.7%,Desiya Murpokku Dravida Kazhagam
2123,,,,,,
2124,Vidisha,1,Sushma Swaraj,"438,235",78.8%,Bharatiya Janta Party
2125,,2,Choudhary Munabbar Salim,"48,391",8.7%,Samajwadi Party
2126,,3,Dr.Premshankar Sharma,"37,142",6.7%,Bahujan Samaj Party
2127,,,,,,
2128,Vijayawada,1,Lagadapati Raja Gopal,"429,394",39.3%,Indian National Congress
2129,,2,Vamsi Mohan Vallabhaneni,"416,682",38.2%,Telugu Desam
2130,,3,Rajiv Chanumolu,"164,666",15.1%,Praja Rajyam Party
2131,,,,,,
2132,Viluppuram,1,Anandan M,"306,826",38.5%,All India Anna Dravida Munnetra Kazhagam
2133,,2,Swamidurai K,"304,029",38.2%,Viduthalai Chiruthaigal Katchi
2134,,3,Ganapathi P M,"127,476",16.0%,Desiya Murpokku Dravida Kazhagam
2135,,,,,,
2136,Virudhunagar,1,Manicka Tagore,"307,187",40.0%,Indian National Congress
2137,,2,Vaiko,"291,423",37.9%,Marumalarchi Dravida Munnetra Kazhagam
2138,,3,Pandiarajan K,"125,229",16.3%,Desiya Murpokku Dravida Kazhagam
2139,,,,,,
