,Name,No.of votes,Percentage of votes,Party
1549,Meghraj Tawar,"33,743",2.8%,Communist Party Of India
1550,Dr. Jitendra Singh,"487,369",46.8%,Bharatiya Janta Party
1551,Ghulam Nabi Azad,"426,393",40.9%,Indian National Congress
1552,Mohd Arshad Malik,"30,461",2.9%,Jammu &amp; Kashmir Peoples Democratic Party
1553,Shobha Karandlaje,"581,168",56.2%,Bharatiya Janta Party
1554,K Jayaprakash Hegde,"399,525",38.6%,Indian National Congress
1555,V. Dhananjaya Kumar,"14,895",1.4%,Janata Dal (Secular)
1556,Nityanand Rai,"317,352",36.9%,Bharatiya Janta Party
1557,Alok Kumar Mehta,"256,883",29.9%,Rashtriya Janata Dal
1558,Ashwamedh Devi,"119,669",13.9%,Janata Dal (United)
1559,Prof. Chintamani Malviya,"641,101",63.1%,Bharatiya Janta Party
1560,Premchand Guddu,"331,438",32.6%,Indian National Congress
1561,Ramprasad Jatwa,"9,969",1.0%,Bahujan Samaj Party
1562,Sultan Ahmed,"570,785",48.1%,All India Trinamool Congress
1563,Sabir Uddin Molla,"369,563",31.2%,Communist Party Of India (MARXIST)
1564,Ranjit Kishore Mohanty,"137,137",11.6%,Bharatiya Janta Party
1565,Swami Sachchidanand Hari Sakshi,"518,834",43.2%,Bharatiya Janta Party
1566,Arun Shankar Shukla,"208,661",17.4%,Samajwadi Party
1567,Brajesh Pathak,"200,176",16.7%,Bahujan Samaj Party
1568,Anantkumar Hegde,"546,939",54.6%,Bharatiya Janta Party
1569,Prashant R Deshpande,"406,239",40.6%,Indian National Congress
1570,Naik Santhosh,"7,404",0.7%,Bahujan Samaj Party
1571,Mullappally Ramachandran,"416,479",43.4%,Indian National Congress
1572,Adv.A.N.Shamseer,"413,173",43.1%,Communist Party Of India (MARXIST)
1573,V.K.Sajeevan,"76,313",8.0%,Bharatiya Janta Party
1574,Narendra Modi,"845,464",72.8%,Bharatiya Janta Party
1575,Mistri Madhusudan Devram,"275,336",23.7%,Indian National Congress
1576,Sunil Digambar Kulkarni,"10,101",0.9%,Aam Aadmi Party
1577,Rama Kishore Singh,"305,450",33.0%,Lok Jan Shakti Party
1578,Raghuvansh Prasad Singh,"206,183",22.3%,Rashtriya Janata Dal
1579,Vijay Kumar Sahni,"145,182",15.7%,Janata Dal (United)
1580,Satish Chandra Dubey,"364,011",40.4%,Bharatiya Janta Party
1581,Purnmasi Ram,"246,218",27.4%,Indian National Congress
1582,Baidya Nath Prasad Mahato,"81,612",9.1%,Janata Dal (United)
1583,Dr. K.C.Patel,"617,772",55.0%,Bharatiya Janta Party
1584,Kishanbhai Vestabhai Patel,"409,768",36.5%,Indian National Congress
1585,Thakriya Ratilal Vajirbhai,"14,202",1.3%,Bahujan Samaj Party
1586,Narendra Modi,"581,022",56.4%,Bharatiya Janta Party
1587,Arvind Kejriwal,"209,238",20.3%,Aam Aadmi Party
1588,Ajay Rai,"75,614",7.3%,Indian National Congress
1589,"Senguttuvan, B.","383,719",39.4%,All India Anna Dravida Munnetra Kazhagam
1590,"Shanmugam, A.C.","324,326",33.3%,Bharatiya Janta Party
1591,"Abdul Rahman, M.","205,896",21.1%,Indian Union Muslim League
1592,Sushma Swaraj,"714,348",66.5%,Bharatiya Janta Party
1593,Lakshman Singh,"303,650",28.3%,Indian National Congress
1594,Kamlesh Sallam,"10,824",1.0%,Gondvana Gantantra Party
1595,Kesineni Srinivas,"592,696",49.6%,Telugu Desam
1596,Koneru Rajendra Prasad,"517,834",43.3%,Yuvajana Sramika Rythu Congress Party
1597,Avinash Devineni,"39,751",3.3%,Indian National Congress
1598,Rajendran S,"482,704",45.2%,All India Anna Dravida Munnetra Kazhagam
1599,Muthaiyan K Dr,"289,337",27.1%,Dravida Munetra Kazhagam
1600,Umasankar K,"209,663",19.6%,Desiya Murpokku Dravida Kazhagam
1601,Radhakrishnan T,"406,694",40.2%,All India Anna Dravida Munnetra Kazhagam
1602,Vaiko,"261,143",25.8%,Marumalarchi Dravida Munnetra Kazhagam
1603,Rethinavelu S,"241,505",23.9%,Dravida Munetra Kazhagam
1604,Kambhampati Hari Babu,"566,832",48.7%,Bharatiya Janta Party
1605,Y.S Vijayamma,"476,344",40.9%,Yuvajana Sramika Rythu Congress Party
1606,Bolisetti Satyanarayana (SATYA),"50,632",4.4%,Indian National Congress
1607,Ashok Gajapathi Raju Pusapati,"536,549",47.9%,Telugu Desam
1608,Venkata Swetha Chalapathi Kumara Krishna Rangarao Ravu,"429,638",38.3%,Yuvajana Sramika Rythu Congress Party
1609,Jhansi Lakshmi Botcha,"122,487",10.9%,Indian National Congress
1610,Kadiyam Srihari,"661,639",56.3%,Telangana Rashtra Samithi
1611,Rajaiah Siricilla,"269,065",22.9%,Indian National Congress
1612,Parameshwar Ramagalla,"187,139",15.9%,Bharatiya Janta Party
1613,Ramdas Chandrabhanji Tadas,"537,518",53.0%,Bharatiya Janta Party
1614,Meghe Sagar Dattatraya,"321,735",31.7%,Indian National Congress
1615,Chetan Bhimraj Pendam,"90,866",9.0%,Bahujan Samaj Party
1616,M I Shanavas,"377,035",41.2%,Indian National Congress
1617,Sathyan Mokeri,"356,165",38.9%,Communist Party Of India
1618,P R Rasmilnath,"80,752",8.8%,Bharatiya Janta Party
1619,Parvesh Sahib Singh Verma,"651,395",48.3%,Bharatiya Janta Party
1620,Jarnail Singh,"382,809",28.4%,Aam Aadmi Party
1621,Mahabal Mishra,"193,266",14.3%,Indian National Congress
1622,Gawali Bhavana Pundlikrao,"477,905",46.3%,Shiv Sena
1623,Adv.Shivajirao Shivaramji Moghe,"384,089",37.2%,Indian National Congress
1624,Rathod Baliram Parashram,"48,981",4.7%,Bahujan Samaj Party
1625,B.B. Patil,"508,661",46.5%,Telangana Rashtra Samithi
1626,Suresh Kumar Shetkar,"364,030",33.3%,Indian National Congress
1627,K.Madan Mohan Rao,"157,497",14.4%,Telugu Desam
